rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Diego Abella,mx MEX,"FW,MF",Toluca,21,1998,1.8,47,1,10,13,25,5,47,3,2,66.7,1,33.3,25,125,60,0,2,0,2,2,32,17,Matches
2,José Abella,mx MEX,DF,Atlas,26,1994,13.2,767,50,265,374,135,3,767,4,2,50.0,2,50.0,396,1352,663,10,6,0,11,0,443,19,Matches
3,Clifford Aboagye,gh GHA,"MF,DF",Puebla,25,1995,1.0,52,1,9,29,14,0,52,1,0,0.0,1,100.0,23,106,63,1,2,0,2,1,29,2,Matches
4,Clifford Aboagye,gh GHA,MF,Tijuana,25,1995,4.2,194,4,25,126,47,2,194,6,4,66.7,2,33.3,122,567,322,6,6,0,1,2,140,7,Matches
5,Iván Acero,mx MEX,MF,Toluca,20,2000,0.1,2,1,1,1,0,0,2,0,0,,0,,1,6,0,0,0,0,0,0,1,0,Matches
6,Carlos Acevedo,mx MEX,GK,Santos,24,1996,34.0,796,751,793,2,1,1,796,0,0,,0,,323,1971,1503,0,0,0,3,0,179,0,Matches
7,Alonso Aceves,mx MEX,DF,Pachuca,19,2001,0.8,40,0,18,18,4,2,40,0,0,,0,,16,67,44,2,0,0,0,0,19,1,Matches
8,Alan Acosta,mx MEX,"MF,DF",Puebla,23,1996,1.2,57,2,7,30,20,1,57,3,1,33.3,2,66.7,38,234,125,4,3,1,2,2,39,11,Matches
9,Luciano Acosta,ar ARG,"MF,FW",Atlas,26,1994,16.7,798,4,57,387,369,56,798,72,37,51.4,35,48.6,554,3074,1665,53,47,18,36,25,595,104,Matches
10,Francisco Acuña,mx MEX,MF,Necaxa,32,1988,0.2,8,1,2,4,3,1,8,0,0,,0,,2,15,0,0,0,0,1,1,1,0,Matches
11,Sergio Adrián Flores,mx MEX,MF,Guadalajara,25,1995,2.1,167,8,50,98,19,1,167,0,0,,0,,56,177,65,0,0,0,1,0,100,0,Matches
